,Unnamed: 0,id,Name,Age,Gender,Qualification_type,Job_Type,Race,GPA,Interviewed
40,40,41,Marlane Kelner,31,F,3,Sales,Latino,3.3,1
41,41,42,Rose Stigger,40,F,3,Human Resources,Other,1.3,1
42,42,43,Paolo Petrollo,43,M,3,Sales,Other,3.7,1
43,43,44,Zared Batman,48,MISSING,4,Marketing,Black,1.0,0
44,44,45,Hildegaard Patis,48,F,2,Engineering,Other,1.0,1
45,45,46,Rock Older,43,M,1,Training,Other,1.3,1
46,46,47,Allyn Witcombe,30,F,3,Business Development,White,2.3,0
47,47,48,Daryle Naseby,24,M,3,Services,Other,1.3,0
48,48,49,Salomo Camosso,46,M,1,Accounting,Latino,2.0,1
49,49,50,Morgana Morena,29,F,1,Support,Other,0.0,1
50,50,51,Brittany Stannis,30,F,4,Sales,Latino,4.0,1
51,51,52,Rad Boreham,31,M,5,Services,White,1.3,0
52,52,53,Alain Vannah,58,M,2,Services,MISSING,0.0,1
53,53,54,Dotty Geck,48,F,1,Research and Development,MISSING,2.3,0
54,54,55,Isaak Coslitt,21,M,4,Support,MISSING,3.0,0
55,55,56,Judon Bastide,47,M,2,Marketing,White,1.0,1
56,56,57,Enrico Beavors,60,M,3,Engineering,Asian,3.0,1
57,57,58,Cecil Syrad,34,F,1,Human Resources,Latino,1.3,0
58,58,59,Jennica Daouze,43,F,2,Human Resources,White,3.7,1
59,59,60,Lesley Wolfendale,47,F,4,Training,Other,1.7,1
60,60,61,Elvira Rouge,36,F,3,Training,White,0.7,1
61,61,62,Fabiano Blazej,54,M,3,Support,White,2.0,0
62,62,63,Alejandrina Rawlence,32,F,2,Training,Latino,3.7,1
63,63,64,Galvan Wagenen,22,M,2,Training,Other,0.7,1
64,64,65,Dena Muzzlewhite,36,F,1,Accounting,Black,1.0,0
65,65,66,Gweneth Pierucci,27,F,5,Accounting,Asian,0.7,0
66,66,67,Nikolaus Jolland,45,M,2,Support,White,0.0,1
67,67,68,Boniface Grose,43,M,3,Legal,Asian,3.3,1
68,68,69,Meaghan Rowbrey,39,F,1,Research and Development,White,0.0,0
69,69,70,Case Portwain,47,M,2,Sales,Asian,2.7,0
70,70,71,Mahmoud Treadwell,27,M,1,Support,Other,0.7,0
71,71,72,Shelden Wilmot,35,M,4,Legal,White,1.3,1
72,72,73,Hannis Ginley,29,MISSING,2,Training,Black,0.7,0
73,73,74,Umberto Cussen,39,M,1,Legal,Other,0.0,1
74,74,75,Rosie Cornill,38,F,5,Human Resources,White,0.0,0
75,75,76,Benedetto Blankman,28,M,3,Legal,Other,4.0,1
76,76,77,Derron Mowatt,53,M,5,Human Resources,Black,2.7,1
77,77,78,Sandro Fairfull,23,M,5,Legal,Latino,3.0,0
78,78,79,Waylen Geggie,23,M,3,Training,Other,2.0,1
79,79,80,Wald Guile,49,M,5,Product Management,White,2.0,0
80,80,81,Alisun Huyton,38,F,2,Training,White,2.0,1
81,81,82,Tab Cowan,22,M,3,Engineering,Asian,2.3,1
82,82,83,Everett Burstowe,37,M,1,Business Development,Black,0.7,0
83,83,84,Irv Burrell,50,M,5,Marketing,Other,1.0,1
84,84,85,Kakalina Bounde,47,F,5,Sales,Latino,0.7,1
85,85,86,Kelsy Nellies,44,F,5,Support,Asian,1.0,1
86,86,87,Von Wychard,47,M,5,Product Management,MISSING,3.0,1
87,87,88,Chiquita Abramovicz,31,F,2,Support,MISSING,1.0,0
88,88,89,Prentice Youngman,46,M,4,Training,Other,1.7,1
89,89,90,Cami Dewis,22,F,2,Legal,White,3.7,1
90,90,91,Luciana Snookes,29,F,2,Sales,Latino,3.3,0
91,91,92,Gertrud Stickney,57,F,4,Research and Development,Asian,4.0,0
92,92,93,Bent Woolmington,54,M,3,Accounting,Latino,2.7,0
93,93,94,Clareta Gaskall,34,F,5,Engineering,Latino,3.0,0
94,94,95,Hillard Marian,25,M,5,Training,Black,1.0,0
95,95,96,Aaren Davidsson,41,F,4,Marketing,Black,1.3,1
96,96,97,Nappie Fidelus,23,M,4,Marketing,Black,4.0,1
97,97,98,Bertram Whitbread,44,M,2,Marketing,Black,1.7,0
98,98,99,Lisabeth Scott,44,F,3,Research and Development,White,3.3,1
99,99,100,Wald Le Galle,46,M,5,Marketing,Black,0.0,0
100,100,101,Gayler Puckinghorne,47,M,3,Business Development,Asian,0.0,1
101,101,102,Sergio Danielski,53,M,2,Business Development,Latino,1.3,0
102,102,103,Elsinore Jorry,47,F,2,Legal,Asian,1.3,1
103,103,104,Merrilee Masseo,56,F,2,Legal,Other,1.3,1
104,104,105,Yank Hordell,22,M,3,Business Development,Latino,4.0,1
105,105,106,Rowan Costard,47,M,2,Human Resources,Black,1.3,1
106,106,107,Charis Talmadge,24,F,1,Research and Development,White,2.0,1
107,107,108,Dani Thick,48,M,3,Human Resources,White,3.0,0
108,108,109,Brewer Beckworth,23,M,5,Accounting,Other,2.3,0
109,109,110,Margaretta Momford,52,F,3,Training,Black,4.0,0
110,110,111,Shana Billyeald,36,F,5,Accounting,Black,1.7,1
111,111,112,Terry Claworth,31,M,5,Services,Black,2.3,0
112,112,113,Archambault Belton,34,M,3,Engineering,Black,2.3,1
113,113,114,Bambi Dignan,60,F,2,Training,White,3.3,1
114,114,115,Livia Graeser,46,F,3,Engineering,Black,2.3,1
115,115,116,Adelle Durrad,29,F,2,Training,Asian,2.7,1
116,116,117,Shel Stockau,31,F,2,Services,Latino,1.0,0
117,117,118,Hildy Burgott,33,F,4,Business Development,Latino,2.7,0
118,118,119,Chevy Fritche,32,M,5,Product Management,Latino,1.3,0
119,119,120,Ross Wheowall,37,M,4,Services,Latino,2.3,0
120,120,121,Gasper Weatherby,24,M,5,Marketing,Latino,1.3,0
121,121,122,Alexis Teas,46,M,4,Sales,White,3.3,1
122,122,123,Modestia Gonning,35,F,5,Sales,Asian,1.3,0
123,123,124,Nanon Galvan,41,F,4,Engineering,Other,2.3,0
124,124,125,Liana Mandy,56,F,5,Marketing,Asian,2.0,1
125,125,126,Kilian MacBrearty,22,M,2,Legal,Latino,0.7,0
126,126,127,Eryn Stirley,56,F,5,Legal,Black,0.0,0
127,127,128,Aida Klimecki,33,F,2,Accounting,Other,2.0,1
128,128,129,Marlo Fosbraey,54,F,2,Support,White,2.3,1
129,129,130,Parrnell Robker,58,M,4,Accounting,Black,4.0,1
130,130,131,Corrina Thomazet,59,F,3,Research and Development,Asian,4.0,0
131,131,132,Kylie Cursons,42,M,1,Legal,Black,4.0,1
132,132,133,Meyer Scrowson,35,M,2,Human Resources,Asian,1.7,1
133,133,134,Morry Tallow,25,M,5,Accounting,Black,0.0,1
134,134,135,Petronille Grimsell,43,F,4,Accounting,White,1.0,1
135,135,136,Randene Losseljong,42,F,3,Research and Development,Latino,2.7,1
136,136,137,Immanuel Mussen,55,M,1,Support,Asian,3.0,1
137,137,138,Brnaby Skeats,45,M,3,Training,Other,1.3,0
138,138,139,Pammy Mollett,29,F,4,Human Resources,Black,2.0,1
139,139,140,Bastian Revance,52,M,5,Services,Other,1.3,1
140,140,141,Briney Spirit,59,F,1,Sales,Other,2.7,0
141,141,142,Gus Pestricke,35,F,3,Product Management,Other,0.7,0
142,142,143,Cindy O'Hoolahan,56,F,4,Marketing,Latino,2.3,1
143,143,144,Grace Fullman,60,F,2,Product Management,Black,0.7,1
144,144,145,Bartie Songust,51,M,3,Services,Latino,2.7,0
145,145,146,Shirleen Slyvester,30,F,4,Legal,White,1.3,1
146,146,147,Hettie Jacquemard,44,F,1,Support,Other,2.7,0
147,147,148,Jordain Blatchford,36,F,5,Legal,White,3.3,1
148,148,149,Zaccaria Weddeburn - Scrimgeour,52,M,1,Support,Black,2.0,0
149,149,150,Brooks Gillinghams,40,M,3,Accounting,Other,0.7,1
150,150,151,Orsola Treleven,40,F,4,Services,Black,3.3,0
151,151,152,Phillida Treamayne,50,F,1,Sales,Other,0.7,1
152,152,153,Roosevelt Matczak,50,M,4,Legal,Other,4.0,0
153,153,154,Whitaker Dyson,43,M,1,Sales,Latino,1.3,0
154,154,155,Jerald Ford,23,M,2,Business Development,Asian,2.7,0
155,155,156,Jedd Wallege,21,M,1,Human Resources,Latino,0.7,1
156,156,157,Blondie Javes,23,F,2,Human Resources,Latino,2.3,1
157,157,158,Minnaminnie Larvor,44,F,5,Support,Black,1.0,1
158,158,159,Dunn Cameli,53,M,4,Human Resources,Black,3.0,1
159,159,160,Skipper Cuseck,35,M,3,Product Management,Latino,4.0,0
160,160,161,Reuben McKeown,59,M,3,Support,Black,2.0,0
161,161,162,Petronella Beckford,33,F,3,Marketing,Black,4.0,0
162,162,163,Jarrid Reuble,47,M,4,Training,White,3.3,0
163,163,164,Sybil Fosdyke,34,F,5,Legal,Black,4.0,0
164,164,165,Basia Antrim,30,F,1,Engineering,Latino,0.7,0
165,165,166,Haywood Kassel,54,M,4,Training,Other,2.3,0
166,166,167,Blair Nealy,53,M,2,Engineering,Other,2.7,1
167,167,168,Dominica Brazelton,27,F,1,Training,Other,0.7,0
168,168,169,Johnette Macey,41,F,3,Legal,Other,1.7,1
169,169,170,Cesar Mulhall,27,M,2,Sales,Latino,2.0,1
170,170,171,Jonathon Errichiello,52,M,2,Marketing,Asian,3.0,0
171,171,172,Maggie Grealish,39,F,5,Marketing,Asian,3.3,0
172,172,173,Lucinda Iacovazzi,47,F,1,Sales,Black,4.0,0
173,173,174,Calhoun Caldes,28,M,4,Product Management,Black,3.7,1
174,174,175,Bord Sheldrake,59,M,1,Accounting,Asian,1.7,0
175,175,176,Ramsay Saiger,36,M,4,Support,Other,2.0,1
176,176,177,Archaimbaud Le Frank,51,M,3,Accounting,White,3.0,1
177,177,178,Adaline Eddolls,27,F,5,Sales,Latino,3.3,0
178,178,179,Pepillo Hyam,58,M,2,Support,Black,2.7,1
179,179,180,Pattie Simper,32,F,3,Marketing,Latino,1.7,1
180,180,181,Laure Cammacke,57,F,5,Engineering,Latino,1.3,0
181,181,182,Gusta Kondratyuk,47,F,2,Business Development,Latino,2.3,0
182,182,183,Brinn Sparshott,48,F,5,Marketing,Black,3.7,0
183,183,184,Merry Fancutt,60,M,5,Services,Latino,1.7,1
184,184,185,Anabelle Moynham,22,F,3,Sales,White,1.0,0
185,185,186,Debera Dunford,26,F,1,Sales,Black,4.0,0
186,186,187,Wells Gallichiccio,51,M,3,Accounting,Other,0.7,0
187,187,188,Philipa Marion,56,F,2,Sales,White,3.3,1
188,188,189,Kale O'Shiels,59,M,2,Sales,White,1.3,1
189,189,190,Zak Edlyne,37,M,4,Services,Latino,3.3,0
190,190,191,Aldridge Dunster,58,M,2,Engineering,Asian,3.3,0
191,191,192,Vittoria Summers,46,F,2,Research and Development,Black,2.0,1
192,192,193,Osmond Deehan,38,M,3,Support,Asian,1.0,1
193,193,194,Rourke Bridge,52,M,3,Human Resources,Black,2.0,0
194,194,195,Genovera Venturoli,36,F,4,Support,Other,1.7,1
195,195,196,Abbott Niche,45,M,1,Business Development,Asian,1.7,0
196,196,197,Vinny Fugere,57,M,4,Engineering,White,3.3,0
197,197,198,Collie Stockley,53,F,2,Legal,White,0.7,0
198,198,199,Timmie Orchard,26,M,2,Legal,White,1.3,1
199,199,200,Hedwiga Skirvin,40,F,2,Business Development,White,0.7,1
200,200,201,Dale Matzke,52,M,5,Human Resources,Asian,4.0,0
201,201,202,Koren Schriren,55,F,4,Research and Development,Latino,1.0,1
202,202,203,Rebekkah Langcaster,52,F,2,Business Development,Asian,2.3,0
203,203,204,Cyrus Aymeric,25,M,2,Engineering,Black,2.3,1
204,204,205,Leonhard Grimbaldeston,58,M,1,Engineering,Black,0.0,0
205,205,206,Cassondra Ziehms,34,F,4,Research and Development,Asian,2.7,0
206,206,207,Myrta Woolen,52,F,3,Engineering,Asian,1.0,0
207,207,208,Norrie Hanwright,39,M,2,Sales,Other,3.7,0
208,208,209,Cirillo Janda,36,M,5,Accounting,White,2.0,0
209,209,210,Stacee Strainge,35,F,5,Research and Development,Other,1.0,0
210,210,211,Rickard Pfeffel,37,M,4,Research and Development,White,1.0,1
211,211,212,Jeth Mc Dermid,54,M,1,Marketing,Asian,4.0,0
212,212,213,Marwin Dunsleve,57,M,1,Legal,White,0.0,0
213,213,214,Kelvin Thurske,58,M,1,Services,Latino,3.7,0
214,214,215,Niven Izzatt,31,M,3,Legal,Other,1.3,0
215,215,216,Bethanne Axelbee,38,F,3,Product Management,Asian,3.7,1
216,216,217,Ty Gawthrop,27,M,1,Human Resources,Asian,4.0,1
217,217,218,Sumner Franken,45,M,2,Services,White,1.7,0
218,218,219,Thibaut Rohloff,58,M,4,Marketing,Black,4.0,0
219,219,220,Guthry MacIver,43,M,4,Sales,Other,3.3,0
220,220,221,Broderick George,31,M,5,Engineering,Latino,1.0,0
221,221,222,Mildrid Rubenovic,52,F,1,Marketing,White,2.7,0
222,222,223,Ellswerth Gerrie,42,M,1,Engineering,White,1.7,0
223,223,224,Olva MacGow,45,F,3,Support,Other,0.7,1
224,224,225,Bryan Itshak,49,M,2,Legal,Asian,1.0,1
225,225,226,Christalle Faas,34,F,2,Research and Development,Latino,2.7,0
226,226,227,Siana Stops,42,F,2,Business Development,Latino,1.7,1
227,227,228,Gene Hastilow,59,M,5,Sales,White,2.3,1
228,228,229,Lanny Charlton,27,F,4,Services,Black,1.0,0
229,229,230,Amanda Rosenfarb,53,F,5,Training,Asian,1.3,1
230,230,231,Leone Smoth,25,F,1,Marketing,Other,1.7,1
231,231,232,Cass Raycroft,49,M,1,Support,White,0.0,0
232,232,233,Rosalia Broune,57,F,5,Human Resources,Latino,3.3,1
233,233,234,Ruperto Meatcher,52,M,3,Research and Development,Black,1.7,0
234,234,235,Bianka Sherrin,50,F,4,Sales,Latino,2.3,1
235,235,236,Gonzalo Staniland,38,M,1,Research and Development,Black,0.7,0
236,236,237,Aguie Clarkin,23,M,1,Services,Asian,3.7,1
237,237,238,Huntington Dallemore,39,M,2,Marketing,White,2.0,0
238,238,239,Bary Ilyinski,58,M,1,Sales,Other,0.0,0
239,239,240,Luce Klezmski,39,F,5,Training,Black,3.3,0
240,240,241,Easter Amberson,60,F,3,Training,Asian,3.3,0
241,241,242,Richart Hamshere,53,M,3,Research and Development,Asian,1.0,1
242,242,243,Jackie Meier,48,M,5,Support,Black,2.3,1
243,243,244,Drusy Skate,37,F,2,Accounting,Asian,1.3,1
244,244,245,Krysta Escalera,54,F,3,Training,White,0.7,0
245,245,246,Cyrillus Bulle,22,M,4,Sales,Latino,0.0,0
246,246,247,Corinna Pactat,27,F,5,Engineering,Other,2.0,1
247,247,248,Joletta Futty,52,F,5,Services,Other,1.7,0
248,248,249,Trefor Welling,48,M,1,Product Management,Other,3.0,0
249,249,250,Davida Van Schafflaer,32,F,5,Accounting,Other,0.7,1
250,250,251,Reilly Fedder,42,M,4,Research and Development,Latino,2.7,0
251,251,252,Shannah Falkous,54,F,4,Services,Other,1.3,0
252,252,253,Philippine Sine,37,F,1,Services,Other,0.7,1
253,253,254,Katharyn Arro,35,F,1,Legal,White,0.7,0
254,254,255,Floris Hutcheons,59,F,2,Business Development,White,3.0,0
255,255,256,Josi Power,57,F,2,Marketing,Asian,0.0,0
256,256,257,Melesa Mushawe,41,F,4,Human Resources,Black,2.7,1
257,257,258,Cary Beattie,45,M,4,Legal,Other,0.7,1
258,258,259,Gillian Kmicicki,43,F,3,Marketing,White,4.0,0
259,259,260,Parrnell Mechell,32,M,1,Legal,Latino,3.0,1
260,260,261,Amie Coverlyn,33,F,1,Legal,White,0.7,0
261,261,262,Fifine Trodler,52,F,1,Business Development,Latino,3.0,1
262,262,263,Chastity Andrzejowski,40,F,2,Support,White,1.7,0
263,263,264,Felic Cavie,29,M,5,Human Resources,White,3.3,0
264,264,265,Jake Philipet,22,M,3,Human Resources,Asian,2.3,1
265,265,266,Mella Beedham,42,F,2,Services,Other,0.7,0
266,266,267,Garv Seager,52,M,4,Accounting,Black,2.7,1
267,267,268,Ugo Tooby,52,M,5,Business Development,White,1.0,0
268,268,269,Rey Gabbitus,27,F,4,Marketing,Latino,0.0,0
269,269,270,Shel Bankhurst,33,F,1,Marketing,Other,2.0,1
270,270,271,Sammie Delnevo,39,M,5,Legal,Other,0.0,0
271,271,272,Lucias Morrieson,59,M,5,Research and Development,White,3.3,0
272,272,273,Farrand Emlen,35,F,5,Support,White,3.3,0
273,273,274,Rurik Varley,41,M,2,Research and Development,White,3.7,1
274,274,275,Sibyl Crighton,23,M,4,Support,Other,2.3,1
275,275,276,Saunderson Yakobowitz,36,M,1,Human Resources,Asian,2.0,0
276,276,277,Mar Tebbs,33,M,4,Legal,Black,4.0,1
277,277,278,Tiffanie Stirrip,50,F,3,Support,Black,2.0,0
278,278,279,Krysta Reinert,60,F,3,Support,Asian,1.0,1
279,279,280,Jayne Roles,26,F,4,Services,Other,1.3,0
280,280,281,Filmore Bannard,35,M,2,Research and Development,Asian,1.0,1
281,281,282,Danna Peltzer,27,F,3,Training,Latino,0.0,1
282,282,283,Emyle Dingate,23,F,4,Legal,Asian,3.7,1
283,283,284,Margaretta Kenwright,37,F,5,Human Resources,Asian,4.0,0
284,284,285,Alfred Neasam,50,M,5,Training,Other,4.0,1
285,285,286,Dorey Crotty,27,M,1,Marketing,Black,1.7,0
286,286,287,Ingelbert Cundy,45,M,4,Legal,Latino,3.7,0
287,287,288,Mariejeanne Gravy,50,F,1,Sales,Latino,0.0,1
288,288,289,Patrizio Dredge,50,M,3,Research and Development,Asian,3.7,0
289,289,290,Hulda Harriot,39,F,3,Marketing,Asian,3.0,1
290,290,291,Ruddy Dalgety,44,M,3,Research and Development,Asian,3.0,1
291,291,292,Rani Deniskevich,59,F,3,Product Management,Black,0.7,0
292,292,293,Tiphani Goffe,42,F,5,Accounting,Latino,1.7,1
293,293,294,Darlleen Klosser,40,F,4,Business Development,Latino,3.7,1
294,294,295,Casi Blakes,39,F,3,Business Development,Asian,4.0,0
295,295,296,Dorice Di Iorio,48,F,1,Legal,Other,1.7,0
296,296,297,Wilbur Simcox,38,M,2,Sales,Other,2.3,1
297,297,298,Glori Ramble,26,F,2,Training,Latino,1.7,0
298,298,299,Rochester Sindall,40,M,4,Support,Black,4.0,1
299,299,300,Godiva Schoales,21,F,1,Research and Development,Black,1.7,1
300,300,301,Patience Oleszkiewicz,21,F,4,Sales,Asian,2.0,0
301,301,302,Cassi Wanka,34,F,3,Human Resources,White,4.0,0
302,302,303,Berky Harrowing,40,M,3,Accounting,Asian,3.7,0
303,303,304,Carey Dupey,22,F,2,Research and Development,Other,2.7,0
304,304,305,Reid Bampton,36,M,4,Engineering,Other,3.0,0
305,305,306,Arv Pudsall,23,M,5,Sales,Black,2.0,1
306,306,307,Ambros Benko,31,M,1,Services,Black,1.0,1
307,307,308,Rochell Scorah,48,F,1,Marketing,Latino,0.7,0
308,308,309,Viviana Roskelly,47,F,5,Marketing,Latino,3.3,0
309,309,310,Tonye Coneley,59,F,4,Services,Latino,2.0,1
310,310,311,Olympia Gasnell,53,F,2,Engineering,White,0.0,1
311,311,312,Kathlin McKeveney,57,F,4,Marketing,White,1.0,0
312,312,313,Dasya Mewis,26,F,5,Support,Black,1.0,0
313,313,314,Jeffie Acaster,56,M,5,Services,Black,3.3,0
314,314,315,Duffie Frary,52,M,1,Support,Latino,3.0,0
315,315,316,Minni Figgins,32,F,4,Human Resources,Asian,2.7,1
316,316,317,Dennet Mourant,32,M,1,Legal,Asian,3.7,1
317,317,318,Ashlen Wombwell,52,F,5,Legal,Other,1.3,1
318,318,319,Rodger Emmer,26,M,3,Engineering,Asian,3.3,0
319,319,320,Tiebold Golborne,53,M,4,Human Resources,White,2.0,0
320,320,321,Karlens Tonnesen,38,M,4,Product Management,Latino,4.0,0
321,321,322,My Crighton,34,M,2,Research and Development,Other,1.0,1
322,322,323,Stacy Baskeyfied,34,F,4,Accounting,Asian,1.7,0
323,323,324,Virginia Quenby,42,F,4,Accounting,Other,4.0,1
324,324,325,Maurene Shotter,34,F,1,Product Management,White,0.7,0
325,325,326,Aguistin Timmermann,39,M,2,Support,Asian,2.0,0
326,326,327,Gothart Ruhben,48,M,5,Research and Development,Black,2.7,1
327,327,328,Gardener Grestie,43,M,3,Business Development,Black,3.7,1
328,328,329,Budd Billsberry,41,M,4,Product Management,Other,3.3,1
329,329,330,Jacky Fison,32,F,3,Research and Development,Black,1.3,0
330,330,331,Martica Esch,51,F,4,Product Management,Asian,1.0,0
331,331,332,Sid Grzelak,21,M,3,Business Development,Other,0.0,0
332,332,333,Toni Nelmes,32,F,3,Sales,Black,3.7,0
333,333,334,Cletis Cosham,48,M,1,Engineering,Latino,4.0,1
334,334,335,Hebert Ramsey,53,M,2,Product Management,Other,1.0,1
335,335,336,Raf Vogeler,40,F,5,Support,Latino,3.3,0
336,336,337,Loydie Ohms,43,M,5,Engineering,White,3.3,1
337,337,338,Valentine Crowcroft,36,M,5,Services,Asian,2.0,0
338,338,339,Marlon Lepere,31,M,4,Engineering,White,2.0,1
339,339,340,Gordy Elderkin,53,M,5,Legal,Black,1.0,0
340,340,341,Gibb Ahrenius,41,M,3,Business Development,Black,3.3,0
341,341,342,Hugues Longega,55,M,3,Accounting,Black,1.7,0
342,342,343,Alysa Vittle,45,F,4,Sales,White,3.3,0
343,343,344,Troy Percifull,24,M,4,Marketing,Other,2.3,0
344,344,345,Karina Frounks,53,F,1,Research and Development,Asian,3.3,0
345,345,346,Valery Bickle,40,F,3,Sales,Latino,2.3,1
346,346,347,Raoul Flement,37,M,5,Accounting,Other,3.3,0
347,347,348,Delainey Tompkinson,54,M,2,Research and Development,Asian,1.0,0
348,348,349,Denis Seggie,46,M,3,Services,Asian,2.3,1
349,349,350,Gratia Antonovic,55,F,2,Marketing,Latino,2.0,0
350,350,351,Wendeline Blunt,23,F,2,Support,White,0.0,1
351,351,352,Dori Droogan,55,F,2,Accounting,White,4.0,0
352,352,353,Cherri Buyers,29,F,5,Support,Black,2.0,1
353,353,354,Elnar Garman,36,M,3,Services,Latino,3.0,0
354,354,355,Bebe Botwood,48,F,1,Research and Development,Black,2.0,1
355,355,356,Elston Ollier,54,M,4,Marketing,White,3.7,1
356,356,357,Lock Reston,43,M,3,Sales,Latino,3.0,0
357,357,358,Kipp Blaxill,32,M,2,Research and Development,Other,0.7,1
358,358,359,Helenka Copsey,51,F,3,Marketing,White,3.7,0
359,359,360,Babara Fitzpayn,44,F,1,Business Development,Latino,3.3,1
360,360,361,Quentin Al Hirsi,43,M,3,Marketing,Black,3.7,1
361,361,362,Anett Whitmore,21,F,1,Legal,White,1.0,1
362,362,363,Hugues Elwood,54,M,5,Business Development,Latino,1.3,1
363,363,364,Mendy Maren,43,M,3,Engineering,Asian,3.0,0
364,364,365,Rodolfo Isles,33,M,1,Training,Latino,0.7,0
365,365,366,Nathanial Deverson,52,M,5,Business Development,Asian,2.3,1
366,366,367,Ethyl Charrington,31,F,2,Human Resources,Asian,2.3,0
367,367,368,Hector Serot,45,M,1,Training,Latino,1.0,1
368,368,369,Norah Farman,56,F,2,Research and Development,Black,3.3,1
369,369,370,Humberto Martinot,46,M,3,Sales,Other,2.7,0
370,370,371,Carver Carabine,25,M,2,Product Management,Black,0.0,0
371,371,372,Rancell Maytum,22,M,3,Support,Black,2.3,1
372,372,373,Chrisy Donoghue,46,M,5,Business Development,Asian,1.7,1
373,373,374,Lilla Vaney,57,F,5,Research and Development,Other,2.3,1
374,374,375,Johnathon Pauletto,47,M,1,Marketing,Asian,2.7,1
375,375,376,Edmon Hutchings,59,M,4,Research and Development,Black,3.7,0
376,376,377,Gal Geroldini,49,M,2,Engineering,Latino,0.7,1
377,377,378,Sibilla Langsdon,50,F,5,Support,Latino,2.0,0
378,378,379,Silvana Romaynes,32,F,1,Training,Asian,2.0,0
379,379,380,Hewett Lightbourn,33,M,4,Human Resources,White,4.0,1
380,380,381,Rance Donnachie,27,M,5,Accounting,Other,3.7,0
381,381,382,Corney Hallett,60,M,1,Sales,Other,1.0,0
382,382,383,Randie Ferdinand,23,F,1,Services,White,3.7,1
383,383,384,Lucho Bamfield,41,M,4,Legal,Asian,1.0,0
384,384,385,Stinky Tanner,43,M,2,Engineering,Asian,4.0,0
385,385,386,Harlin MacCosty,48,M,3,Marketing,Black,0.0,0
386,386,387,Robinetta Giovanetti,33,F,1,Legal,White,3.3,0
387,387,388,Caldwell Glinde,24,M,4,Engineering,White,2.3,0
388,388,389,Garek Astbery,45,M,2,Human Resources,Asian,3.7,1
389,389,390,Even Charville,32,M,5,Human Resources,White,1.3,0
390,390,391,Ase Gumley,36,M,5,Training,Black,4.0,0
391,391,392,Cristabel Cringle,56,F,4,Human Resources,White,3.7,1
392,392,393,Viva Childs,43,F,1,Support,Other,3.0,1
393,393,394,Javier Andress,21,M,4,Research and Development,Asian,1.0,1
394,394,395,Roley Autie,48,M,3,Engineering,White,1.3,1
395,395,396,Joline Heintze,30,F,1,Training,Asian,0.0,0
